speed,time,distance,traffic,
23,0:02:48,3.170376152,1180,168
30,0:02:45,3.14830004,1180,165
32,0:02:42,3.119915865,1180,162
36,0:02:39,3.089642918,1180,159
41,0:02:36,3.055955846,1180,156
32,0:02:33,3.025108292,1180,153
36,0:02:30,2.995130657,1180,150
44,0:02:27,2.959744919,1180,147
50,0:02:24,2.91715321,1180,144
57,0:02:21,2.869994878,1180,141
64,0:02:18,2.817038709,1180,138
69,0:02:15,2.758486593,1180,135
71,0:02:12,2.696936728,1180,132
69,0:02:09,2.637389254,1180,129
64,0:02:06,2.57963315,1180,126
54,0:02:03,2.527679103,1180,123
44,0:02:00,2.48811396,1180,120
47,0:01:57,2.448143333,1180,117
50,0:01:54,2.405304967,1180,114
53,0:01:51,2.361309439,1180,111
56,0:01:48,2.314501882,1180,108
59,0:01:45,2.265196582,1180,105
60,0:01:42,2.213970937,1180,102
57,0:01:39,2.164665583,1180,99
55,0:01:36,2.117171176,1180,96
55,0:01:33,2.070741621,1180,93
53,0:01:30,2.023519439,1180,90
47,0:01:27,1.981991311,1180,87
34,0:01:24,1.948627329,1180,84
33,0:01:21,1.919658722,1180,81
37,0:01:18,1.889229877,1180,78
36,0:01:15,1.858859574,1180,75
35,0:01:12,1.82626494,1180,72
31,0:01:09,1.798452114,1180,69
20,0:01:06,1.778245751,1180,66
25,0:01:03,1.759140913,1180,63
37,0:01:00,1.730964214,1180,60
43,0:00:57,1.694078596,1180,57
47,0:00:54,1.654883563,1180,54
50,0:00:51,1.611418239,1180,51
54,0:00:48,1.566179915,1180,48
52,0:00:45,1.519902591,1180,45
49,0:00:42,1.474693634,1180,42
48,0:00:39,1.433538595,1180,39
44,0:00:36,1.393403047,1180,36
26,0:00:33,1.363247358,1180,33
26,0:00:30,1.341938368,1180,30
35,0:00:27,1.315104197,1180,27
38,0:00:24,1.281825658,1180,24
28,0:00:18,1.220145063,1180,18
17,0:00:15,1.201943825,1180,15
22,0:00:12,1.184651025,1180,12
33,0:00:09,1.160163574,1180,9
41,0:00:06,1.12789411,1180,6
47,0:00:03,1.088583267,1180,3
33,0:20:09,14,1464,1209
27,0:20:06,13.97306504,1464,1206
18,0:20:03,13.95523425,1464,1203
13,0:20:00,13.94089487,1464,1200
10,0:19:57,13.93237128,1464,1197
9,0:19:54,13.92306045,1464,1194
8,0:19:51,13.90938345,1464,1191
0,0:19:48,13.90211322,1464,1188
0,0:19:45,13.89785142,1464,1185
0,0:19:42,13.89330752,1464,1182
2,0:19:39,13.89058118,1464,1179
6,0:19:36,13.8867797,1464,1176
13,0:19:33,13.88326092,1464,1173
18,0:19:30,13.8664318,1464,1170
23,0:19:27,13.84860096,1464,1167
30,0:19:24,13.82285814,1464,1164
38,0:19:21,13.79037834,1464,1161
43,0:19:18,13.75409746,1464,1158
41,0:19:15,13.71695047,1464,1155
36,0:19:12,13.68508585,1464,1152
27,0:19:09,13.65983739,1464,1149
12,0:19:06,13.64549788,1464,1146
2,0:19:03,13.63814299,1464,1143
1,0:19:00,13.6299639,1464,1140
0,0:18:57,13.62439889,1464,1137
0,0:18:54,13.62145436,1464,1134
7,0:18:51,13.6155653,1464,1131
10,0:18:48,13.60462324,1464,1128
21,0:18:45,13.58734549,1464,1125
31,0:18:42,13.56103877,1464,1122
37,0:18:39,13.52904067,1464,1119
44,0:18:36,13.4911678,1464,1116
44,0:18:33,13.45108542,1464,1113
44,0:18:30,13.41189257,1464,1110
37,0:18:27,13.37611031,1464,1107
37,0:18:24,13.3445598,1464,1104
